"Abondance cheese, from cow's milk",6.229
"Alaska pollock, raw",10.932
"Albacore, raw",8.459
Almond drink,1.042
Almond milk,0.42
Almonds,1.74
"American bass, raw",11.901
Anglerfish,11.611
"Apple juice, pure juice",0.4
Apples,0.318333333
Apricot,0.43
"Arctic char, raw",4.828
Artichokes,0.9955
"Asiago cheese, from cow's milk",6.229
Asparagus,3.87392
"Atlantic bass, raw",11.901
"Atlantic chub mackerel, raw",2.231
"Atlantic halibut, raw",4.209
"Atlantic herring, lean, oily, raw",2.285
"Auvergne blue cheese, from cow's milk",5.462
Avocados,1.4575
Bacon,10.3015
Baked beans,2.368
"Banana, pulp, raw",1.189
Bananas,0.5915
Barbecue Sauce,2.849
Barley,0.49
Barley (Beer),0.845
"Basa, PE Tray with PE Film",7.463
"Basmati rice, raw",2.132
Beans,0.62
Beans & Pulses,1.571
Beans: french and runner,0.85
Beans: gigante/butter,0.36
Beans: green,0.51
Beans: pinto USA dried,0.73
Beans: plake,0.3
"Beaufort cheese, from cow's milk",6.229
Beef,29.87385
Beer,1.061
Beet Sugar,1.496
Beetroot,0.23
Berries,1.19
"Bigeye scad, raw",2.231
"Big-scale sand smelt (whole small fish), to fry, raw",1.477
"Black mulberry, raw",0.706
"Black seabream, raw",6.751
"Blackberry, frozen, raw",0.955
"Blackberry, raw",0.582
"Blackspot seabream, raw",6.751
"Blood, beef, raw",33.369
"Blue cheese, from cow's milk",5.462
"Blue grenadier, raw",6.824
"Blue ling, raw",10.932
"Blue shark, fillet, without skin, raw",10.932
"Blueberry, frozen, raw",1.705
"Blueberry, raw",1.333
"Bogue, raw",1.477
"Bonito, raw",8.459
"Brain, lamb, raw",25.892
"Brain, pork, raw",1.862
Bran grain bread,0.595
"Bread, white, sliced, unsliced",0.837
"Bread brown, French bread (baguette or ball), with flour type 80 or 110",0.663
"Bread, French bread, baguette",0.729333333
"Bread, gluten free",1.209
"Bread, home-made, with flour for home-made bread preparation",0.663
"Bread, wholemeal or integral bread (made with flour type 150)",0.626
"Bresse blue cheese, from cow's milk",5.462
"Brie cheese, from cow's milk",5.462
"Brie de Meaux cheese, from cow's milk",5.462
Brioche or Vienna bread,2.666666667
Broccoli,0.7255
"Brown bullhead, raw",11.901
"Brown meagre, raw",4.209
Buffalo,62.59
Buffalo milk,3.75
"Burger, beef based, 15% fat, raw",20.213
Butter,11.52
"Butter oil or concentrated butter, ghee",15.454
Cabbages and Other Brassicas,0.475
"Camembert cheese, from cow's milk",5.462
Cane Sugar,2.67
"Canned (pulses, shelled)",1.8255
Canned carrots,1.966
Canned green beans,1.3255
"Canned peas, shelled (fresh peas are canned, not dried!)",2.30475
Canned spinach,1.6035
Canned sweet corn,2.263
"Cantal cheese, half matured, from cow's milk",6.229
"Cantal, Salers or Laguiole cheese, from cow's milk",6.229
"Capelin, raw",8.459
Capsicums/peppers,0.6
Carp,3.7345
"Carr‚ de l'Est cheese, from cow's milk",5.462
Carrots,0.505
